2,Филиппова Роман,38,78483
4,Попова Кирилл,46,64654
5,Мальцев Элина,34,64648
6,Панкова Елизавета,54,73239
10,Петрова Руслан,37,66309
12,Воронина Нина,67,64408
13,Беляков Святослав,51,65655
16,Дмитриева Степан,77,79507
19,Зайцев Светлана,76,58582
20,Мальцев Наталья,65,58630
21,Широков Иван,68,79921
22,Зайцева София,53,87287
26,Панкова Маргарита,71,72178
27,Александрова Мадина,36,91665
31,Корчагина Софья,55,86163
32,Николаева Юлия,73,73896
35,Зайцев Анастасия,48,62440
39,Попов Оливия,45,91724
44,Терентьев Роберт,43,68632
45,Галкина Дмитрий,34,95898
46,Воробьев Наталья,71,72197
47,Дмитриева Павел,49,74456
48,Игнатьев Яна,33,66305
